category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month,collection_location,collection_date
anti-social-behaviour,Force,"{'latitude': '51.509962', 'street': {'id': 1676943, 'name': 'On or near Nightclub'}, 'longitude': '-0.137952'}",,,,127546214,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.493025', 'street': {'id': 1676730, 'name': 'On or near Upper Tachbrook Street'}, 'longitude': '-0.139391'}",,,,127559261,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.489721', 'street': {'id': 1677121, 'name': 'On or near Moreton Street'}, 'longitude': '-0.135781'}",,,,127559252,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.501162', 'street': {'id': 1680084, 'name': 'On or near Addington Street'}, 'longitude': '-0.116252'}",,,,127546138,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.495775', 'street': {'id': 1676246, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-0.142679'}",,,,127555020,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.509886', 'street': {'id': 1678385, 'name': 'On or near Irving Street'}, 'longitude': '-0.128646'}",,,,127545879,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.486788', 'street': {'id': 1676860, 'name': 'On or near Claverton Street'}, 'longitude': '-0.137946'}",,,,127545874,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.510468', 'street': {'id': 1678029, 'name': 'On or near Leicester Square'}, 'longitude': '-0.130769'}",,,,127545271,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.495183', 'street': {'id': 1676610, 'name': 'On or near Morpeth Terrace'}, 'longitude': '-0.139952'}",,,,127556531,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.492545', 'street': {'id': 1675378, 'name': 'On or near Bus/coach Station'}, 'longitude': '-0.149087'}",,,,127556053,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.497747', 'street': {'id': 1675838, 'name': 'On or near Beeston Place'}, 'longitude': '-0.145740'}",,,,127556329,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.491777', 'street': {'id': 1678087, 'name': 'On or near Erasmus Street'}, 'longitude': '-0.129920'}",,,,127555818,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.496466', 'street': {'id': 1676405, 'name': 'On or near Shopping Area'}, 'longitude': '-0.141499'}",,,,127556522,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.489261', 'street': {'id': 1677400, 'name': 'On or near Pimlico'}, 'longitude': '-0.133408'}",,,,127563464,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,127556389,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.499935', 'street': {'id': 1674471, 'name': 'On or near Belgrave Mews North'}, 'longitude': '-0.155607'}",,,,127561704,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.510641', 'street': {'id': 1676033, 'name': 'On or near Bruton Street'}, 'longitude': '-0.144467'}",,,,127556382,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.502888', 'street': {'id': 1679979, 'name': 'On or near Chicheley Street'}, 'longitude': '-0.117319'}",,,,127556269,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.494818', 'street': {'id': 1679973, 'name': 'On or near Pratt Walk'}, 'longitude': '-0.117089'}",,,,127555678,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.489842', 'street': {'id': 1677640, 'name': 'On or near Rampayne Street'}, 'longitude': '-0.133183'}",,,,127543921,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.506105', 'street': {'id': 1675536, 'name': 'On or near Shepherd Street'}, 'longitude': '-0.147663'}",,,,127555676,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.489993', 'street': {'id': 1675030, 'name': 'On or near Ranelagh Grove'}, 'longitude': '-0.151831'}",,,,127556002,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.500077', 'street': {'id': 1680480, 'name': 'On or near Supermarket'}, 'longitude': '-0.113602'}",,,,127555891,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.496466', 'street': {'id': 1676405, 'name': 'On or near Shopping Area'}, 'longitude': '-0.141499'}",,,,127555871,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.483274', 'street': {'id': 1677655, 'name': 'On or near Nine Elms Lane'}, 'longitude': '-0.132414'}",,,,127555726,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.488507', 'street': {'id': 1676059, 'name': 'On or near Sussex Street'}, 'longitude': '-0.144285'}",,,,127562811,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.491897', 'street': {'id': 1678313, 'name': 'On or near Bulinga Street'}, 'longitude': '-0.128446'}",,,,127544227,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.491897', 'street': {'id': 1678313, 'name': 'On or near Bulinga Street'}, 'longitude': '-0.128446'}",,,,127544358,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.510729', 'street': {'id': 1677342, 'name': 'On or near Denman Street'}, 'longitude': '-0.135283'}",,,,127544518,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.492462', 'street': {'id': 1677720, 'name': 'On or near Regency Street'}, 'longitude': '-0.132283'}",,,,127544847,,2025-04,Westminster,2025-04
anti-social-behaviour,Force,"{'latitude': '51.487218', 'street': {'id': 1676806, 'name': 'On or near Ranelagh Road'}, 'longitude': '-0.138994'}",,,,127544907,,2025-04,Westminster,2025-04
